record_id,work_order,service_date,agitator_tag,gearbox_tag,motor_tag,component,measurement_type,item_description,unit,source_value,technician,record_note
WO-99001,WO-99001,2026-06-28,AGT-44,GBX-44,MTR-44,coupling guard,checklist,coupling guard fitted,text,yes,J. Karim,guard panels present before PM
WO-99002,WO-99002,2026-06-28,AGT-44,GBX-44,MTR-44,seal flush,seal flush flow,seal flush flow,L/min,2.8,J. Karim,manual rotameter read
WO-99003,WO-99003,2026-07-03,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil grade,gearbox oil grade,text,ISO VG 320 EP,M. Sato,drum label observed at service bay
WO-99004,WO-99003,2026-07-03,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil fill quantity,gearbox oil fill quantity,L,,M. Sato,filled after drain; final litre count not written
WO-99005,WO-99005,2026-07-04,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil fill quantity,gearbox oil fill quantity,L,24.5,H. Osei,fill count entered after shift check
WO-99006,WO-99006,2026-07-04,AGT-44,GBX-44,MTR-44,mechanical seal,mechanical seal kit part number,mechanical seal kit part number,text,MSK-44B,H. Osei,kit on service sheet
WO-99007,WO-99007,2026-07-06,AGT-44,GBX-44,MTR-44,gearbox,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91,K. Holt,tachometer at mixer shaft boss
WO-99008,WO-99008,2026-07-06,AGT-44,GBX-44,MTR-44,seal flush,seal flush pressure,seal flush pressure,bar,1.6,K. Holt,seal panel gauge
WO-99009,WO-99009,2026-07-08,AGT-44,GBX-44,MTR-44,seal flush,seal flush flow,seal flush flow,L/min,2.1,K. Holt,operator noted intermittent rotameter bounce
WO-99010,WO-99010,2026-07-08,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,103.2,K. Holt,MCC display at batch heat-up
WO-99011,WO-99011,2026-07-09,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,86.0,R. Keane,IR gun on sump boss
WO-99012,WO-99012,2026-07-09,AGT-44,GBX-44,MTR-44,mechanical seal,seal leakage rate,mechanical seal leakage rate,ml/min,4.8,R. Keane,graduated cup timed for five minutes
WO-99013,WO-99013,2026-07-10,AGT-44,GBX-44,MTR-44,coupling,coupling guard fitted,coupling guard fitted,text,yes,N. Kovac,post PM guard check
WO-99014,WO-99014,2026-07-10,AGT-44,GBX-44,MTR-44,seal flush,seal flush pressure,seal flush pressure,bar,1.3,N. Kovac,low panel pressure at start of day
PMT-0015,TREND-070102,2026-07-01 02:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,75.1,shift log,routine historian entry
PMT-0016,TREND-070102,2026-07-01 02:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.44,shift log,routine historian entry
PMT-0017,TREND-070102,2026-07-01 02:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,86.1,shift log,routine historian entry
PMT-0018,TREND-070102,2026-07-01 02:00,AGT-44,GBX-44,MTR-44,mechanical seal,seal leakage rate,mechanical seal leakage rate,ml/min,3.54,shift log,routine historian entry
PMT-0019,TREND-070102,2026-07-01 02:00,AGT-44,GBX-44,MTR-44,seal flush,seal flush flow,seal flush flow,L/min,2.73,shift log,routine historian entry
PMT-0020,TREND-070108,2026-07-01 08:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,75.2,shift log,routine historian entry
PMT-0021,TREND-070108,2026-07-01 08:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.54,shift log,routine historian entry
PMT-0022,TREND-070108,2026-07-01 08:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,86.2,shift log,routine historian entry
PMT-0023,TREND-070108,2026-07-01 08:00,AGT-44,GBX-44,MTR-44,mechanical seal,seal leakage rate,mechanical seal leakage rate,ml/min,3.62,shift log,routine historian entry
PMT-0024,TREND-070108,2026-07-01 08:00,AGT-44,GBX-44,MTR-44,seal flush,seal flush flow,seal flush flow,L/min,2.79,shift log,routine historian entry
PMT-0025,TREND-070114,2026-07-01 14:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,75.3,shift log,routine historian entry
